Account,Date,daily_pnl,trade_count,avg_trade_size,avg_leverage,long_trades,short_trades,long_short_ratio,win_day,cum_pnl,rolling_peak,drawdown_proxy,pnl_volatility,lev_adjusted_pnl,pnl_per_unit_leverage,account_win_rate,account_pnl_std,leverage_segment,frequency_segment,consistency_segment,Classification,sentiment,value
0x72743ae2822edd658c0c50608fd7c5c501b2afbd,2024-10-27,327545.999992,202,16311.138465346536,452.54853649792955,104,98,1.0505050505050506,1,327545.999992,327545.999992,0.0,166593.84298758884,723.7809286197936,722.1851105972983,1.0,166593.84298758884,Low_Leverage,Infrequent,Consistent,Greed,1.0,74.0
0x72743ae2822edd658c0c50608fd7c5c501b2afbd,2025-02-19,98269.195073,932,8098.078723175966,969310.7265408894,299,633,0.471608832807571,1,425815.195065,425815.195065,0.0,166593.84298758884,0.10138048861141392,0.10138038402123326,1.0,166593.84298758884,High_Leverage,Infrequent,Consistent,Fear,0.0,44.0
0x72743ae2822edd658c0c50608fd7c5c501b2afbd,2025-06-15,3540.3708500000002,456,1386.494692982456,0.2319869316400607,195,261,0.7442748091603053,1,429355.565915,429355.565915,0.0,166593.84298758884,15261.078824444568,2873.708120659157,1.0,166593.84298758884,Low_Leverage,Infrequent,Consistent,,,
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,2024-10-27,51737.579418,419,2305.200429594272,0.38515298929459735,11,408,0.02689486552567237,1,51737.579418,51737.579418,0.0,181040.12542586456,134329.94383026002,37351.52710051752,1.0,181040.12542586456,Low_Leverage,Infrequent,Consistent,Greed,1.0,74.0
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,2025-02-19,341945.434741,939,2123.4002662406815,41.32949541552886,574,365,1.5683060109289617,1,393683.014159,393683.014159,0.0,181040.12542586456,8273.641652361423,8078.183578242112,1.0,181040.12542586456,Low_Leverage,Infrequent,Consistent,Fear,0.0,44.0
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,2025-06-15,9328.49,72,1269.3402777777778,80.08649207508567,54,18,2.8421052631578947,1,403011.504159,403011.504159,0.0,181040.12542586456,116.4801923307367,115.04369915721432,1.0,181040.12542586456,Low_Leverage,Infrequent,Consistent,,,
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-03-09,187842.08419,3041,3677.8091055573827,215.18146617917094,1409,1632,0.8628291488058788,1,187842.08419,187842.08419,0.0,81868.41228301423,872.947319884851,868.9092895425027,1.0,81868.41228301423,Low_Leverage,Infrequent,Consistent,Greed,1.0,84.0
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-07-03,0.16271999999999998,6,34.916666666666664,4.495047080328452,3,3,0.75,1,187842.24691,187842.24691,0.0,81868.41228301423,0.03619984331468005,0.02961212117408716,1.0,81868.41228301423,Low_Leverage,Infrequent,Consistent,Neutral,,50.0
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-10-27,37526.331877,1016,2056.391348425197,195.79628583065093,545,471,1.1546610169491525,1,225368.57878699998,225368.57878699998,0.0,81868.41228301423,191.66008036259407,190.68617946017804,1.0,81868.41228301423,Low_Leverage,Infrequent,Consistent,Greed,1.0,74.0
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2025-02-19,136208.043913,4885,2330.3033080859777,1.5678016932497272,2321,2564,0.9048732943469786,1,361576.6227,361576.6227,0.0,81868.41228301423,86878.36255022089,53044.61176697001,1.0,81868.41228301423,Low_Leverage,Frequent,Consistent,Fear,0.0,44.0
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2025-06-15,17518.784011,945,1134.6507724867724,0.35629909035852253,651,294,2.2067796610169492,1,379095.406711,379095.406711,0.0,81868.41228301423,49168.75873405091,12916.608243369907,1.0,81868.41228301423,Low_Leverage,Infrequent,Consistent,,,
0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,2025-02-19,14781.443047,1554,3643.361287001287,5646.511933787605,687,867,0.7914746543778802,1,14781.443047,14781.443047,0.0,10367.912907295244,2.6178007273040165,2.617337195618206,1.0,10367.912907295244,High_Leverage,Infrequent,Consistent,Fear,0.0,44.0
0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,2025-06-15,119.0,5,36540.202000000005,28770.34627806016,4,1,2.0,1,14900.443047,14900.443047,0.0,10367.912907295244,0.0041362032576836814,0.004136059496483989,1.0,10367.912907295244,High_Leverage,Infrequent,Consistent,,,
0x8170715b3b381dffb7062c0298972d4727a0a63b,2024-10-27,0.0,15,2333.2533333333336,13.558599165683724,15,0,15.0,0,0.0,0.0,0.0,284263.0040406085,0.0,0.0,0.3333333333333333,284263.0040406085,Low_Leverage,Infrequent,Inconsistent,Greed,1.0,74.0
0x8170715b3b381dffb7062c0298972d4727a0a63b,2025-02-19,196303.792847,3056,2249.731112565445,2541.249431720243,979,2077,0.47112608277189605,1,196303.792847,196303.792847,0.0,284263.0040406085,77.24695986025915,77.21657458063378,0.3333333333333333,284263.0040406085,High_Leverage,Frequent,Inconsistent,Fear,0.0,44.0
0x8170715b3b381dffb7062c0298972d4727a0a63b,2025-06-15,-363924.917628,1530,2113.4516666666664,0.09824954940674085,1268,262,4.821292775665399,0,-167621.12478100002,196303.792847,-363924.917628,284263.0040406085,-3704087.3960795114,-331368.1465424568,0.3333333333333333,284263.0040406085,Low_Leverage,Infrequent,Inconsistent,,,
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,2024-10-27,11.717676000000012,54,933.2848148148149,0.8543349482954689,47,7,5.875,1,11.717676000000012,11.717676000000012,0.0,36958.530698912626,13.715552692042621,6.31907197282296,1.0,36958.530698912626,Low_Leverage,Infrequent,Consistent,Greed,1.0,74.0
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,2025-02-19,64510.169958,1802,6453.556398446171,19818889.523376536,1071,731,1.4631147540983607,1,64521.887634,64521.887634,0.0,36958.530698912626,0.0032549840838413144,0.0032549839196048713,1.0,36958.530698912626,High_Leverage,Infrequent,Consistent,Fear,0.0,44.0
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,2025-06-15,991.770272,55,5808.497454545454,8726.034710868216,37,18,1.9473684210526316,1,65513.657906,65513.657906,0.0,36958.530698912626,0.11365646652364984,0.11364344303167472,1.0,36958.530698912626,High_Leverage,Infrequent,Consistent,,,
0x8477e447846c758f5a675856001ea72298fd9cb5,2024-07-03,-9125.157325,3810,772.3728871391077,699.0730545797312,1706,2104,0.8104513064133017,0,-9125.157325,-9125.157325,0.0,38474.75163191917,-13.053224216295767,-13.034578699044525,0.5,38474.75163191917,Low_Leverage,Frequent,Consistent,Neutral,,50.0
0x8477e447846c758f5a675856001ea72298fd9cb5,2024-10-27,39978.37791,1804,1376.8141407982262,7804.415048926407,625,1179,0.5296610169491526,1,30853.220585000003,30853.220585000003,0.0,38474.75163191917,5.122533547917794,5.121877268461056,0.5,38474.75163191917,High_Leverage,Infrequent,Consistent,Greed,1.0,74.0
0x8477e447846c758f5a675856001ea72298fd9cb5,2025-02-19,46257.358187,5602,658.3625776508391,1880.2304803015356,2453,3149,0.7787301587301587,1,77110.57877200001,77110.57877200001,0.0,38474.75163191917,24.60196165928638,24.588884068891748,0.5,38474.75163191917,High_Leverage,Frequent,Consistent,Fear,0.0,44.0
0x8477e447846c758f5a675856001ea72298fd9cb5,2025-06-15,-33193.569796,3782,843.5024510840825,416.46291767045125,2180,1602,1.3599500935745477,0,43917.008976,77110.57877200001,-33193.56979600001,38474.75163191917,-79.703542350597,-79.51261870450321,0.5,38474.75163191917,Low_Leverage,Frequent,Consistent,,,
0x92f17e8d81a944691c10e753af1b1baae1a2cd0d,2024-10-27,8695.357326,724,2936.1985911602205,0.7576009735989905,642,82,7.734939759036145,1,8695.357326,8695.357326,0.0,50683.86244836313,11477.489640348036,4947.287499616457,1.0,50683.86244836313,Low_Leverage,Infrequent,Consistent,Greed,1.0,74.0
0x92f17e8d81a944691c10e753af1b1baae1a2cd0d,2025-02-19,100502.420808,2080,3430.149134615385,5235882.879885207,1218,862,1.4113557358053301,1,109197.778134,109197.778134,0.0,50683.86244836313,0.01919493294895921,0.019194929282924326,1.0,50683.86244836313,High_Leverage,Infrequent,Consistent,Fear,0.0,44.0
0x92f17e8d81a944691c10e753af1b1baae1a2cd0d,2025-06-15,17381.164,248,6983.216774193548,860.116421500276,244,4,48.8,1,126578.942134,126578.942134,0.0,50683.86244836313,20.20792019024883,20.184453072811863,1.0,50683.86244836313,Low_Leverage,Infrequent,Consistent,,,
0xa0feb3725a9335f49874d7cd8eaad6be45b27416,2024-10-27,49180.714882,4211,1636.15022559962,1239.26849298848,2398,1813,1.3219404630650495,1,49180.714882,49180.714882,0.0,16729.412108108983,39.685278178420674,39.653280850098,1.0,16729.412108108983,High_Leverage,Frequent,Consistent,Greed,1.0,74.0
0xa0feb3725a9335f49874d7cd8eaad6be45b27416,2025-02-19,40314.808014,9274,1157.8793541082598,779098.4541282849,6130,3144,1.9491255961844196,1,89495.52289600001,89495.52289600001,0.0,16729.412108108983,0.05174546015382266,0.051745393736807636,1.0,16729.412108108983,High_Leverage,Frequent,Consistent,Fear,0.0,44.0
0xa0feb3725a9335f49874d7cd8eaad6be45b27416,2025-06-15,16807.35236,2120,1056.7010613207547,1045652.9432532425,1455,665,2.184684684684685,1,106302.875256,106302.875256,0.0,16729.412108108983,0.016073547603384402,0.016073532231618524,1.0,16729.412108108983,High_Leverage,Infrequent,Consistent,,,
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,2024-07-03,-14505.50575,39,7877.326666666667,625.5619005837831,31,8,3.4444444444444446,0,-14505.50575,-14505.50575,0.0,41414.6924947144,-23.187962272739533,-23.150954018246026,0.6666666666666666,41414.6924947144,Low_Leverage,Infrequent,Consistent,Neutral,,50.0
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,2024-10-27,67900.247545,283,1684.2025795053005,261.3086113910993,125,158,0.7861635220125787,1,53394.74179500001,53394.74179500001,0.0,41414.6924947144,259.84695714208226,258.8563417148416,0.6666666666666666,41414.6924947144,Low_Leverage,Infrequent,Consistent,Greed,1.0,74.0
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,2025-02-19,19451.742477,95,820.6771578947369,1.1041044089964367,0,95,0.0,1,72846.484272,72846.484272,0.0,41414.6924947144,17617.665791843403,9244.66599367928,0.6666666666666666,41414.6924947144,Low_Leverage,Infrequent,Consistent,Fear,0.0,44.0
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,2024-10-27,20925.513222,190,3387.3391578947367,16.336870199081606,84,106,0.7850467289719626,1,20925.513222,20925.513222,0.0,14780.914606900795,1280.8765061484269,1206.994860185808,1.0,14780.914606900795,Low_Leverage,Infrequent,Consistent,Greed,1.0,74.0
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,2025-02-19,8751.751449,182,3072.9576923076925,0.4778323400519535,133,49,2.66,1,29677.264671,29677.264671,0.0,14780.914606900795,18315.527676608166,5922.019170789245,1.0,14780.914606900795,Low_Leverage,Infrequent,Consistent,Fear,0.0,44.0
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,2025-06-15,38168.35486,191,2484.57057591623,0.4310030716287457,115,76,1.4935064935064934,1,67845.619531,67845.619531,0.0,14780.914606900795,88557.03676487294,26672.447891084794,1.0,14780.914606900795,Low_Leverage,Infrequent,Consistent,,,
0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,2024-10-27,55.01524,9,1862.9299999999998,1190037.3160276012,7,2,2.3333333333333335,1,55.01524,55.01524,0.0,15308.01418469826,4.622984444188975e-05,4.62298055945318e-05,1.0,15308.01418469826,High_Leverage,Infrequent,Consistent,Greed,1.0,74.0
0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,2025-02-19,21703.816512999998,525,8441.060742857142,56032.24657863231,297,228,1.296943231441048,1,21758.831753,21758.831753,0.0,15308.01418469826,0.3873451064030095,0.38733819363014604,1.0,15308.01418469826,High_Leverage,Infrequent,Consistent,Fear,0.0,44.0
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2023-11-14,155.50335699999994,1043,11034.799511025887,913763.1399651017,489,554,0.8810810810810811,1,155.50335699999994,155.50335699999994,0.0,561577.1552587828,0.0001701790652290252,0.00017017887898942814,1.0,561577.1552587828,High_Leverage,Infrequent,Consistent,Greed,1.0,69.0
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2024-03-09,2606.8947559999997,3076,7639.724411573472,170026.1217306216,1513,1563,0.967391304347826,1,2762.3981129999997,2762.3981129999997,0.0,561577.1552587828,0.01533231911347243,0.015332228937746595,1.0,561577.1552587828,High_Leverage,Frequent,Consistent,Greed,1.0,84.0
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2024-07-03,62586.1816,1643,2875.2178940961658,9031.402700565544,1019,624,1.6304,1,65348.57971300001,65348.57971300001,0.0,561577.1552587828,6.929840654329462,6.9290734342570115,1.0,561577.1552587828,High_Leverage,Infrequent,Consistent,Neutral,,50.0
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2024-10-27,1421755.845871,1268,2166.171861198738,140.28951946391834,148,1120,0.1320249776984835,1,1487104.425584,1487104.425584,0.0,561577.1552587828,10134.440914074608,10062.712728201184,1.0,561577.1552587828,Low_Leverage,Infrequent,Consistent,Greed,1.0,74.0
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2025-02-19,553818.000465,7380,1818.587241192412,1.7693480729606905,3477,3903,0.890625,1,2040922.4260490001,2040922.4260490001,0.0,561577.1552587828,313006.81246866466,199981.36235468482,1.0,561577.1552587828,Low_Leverage,Frequent,Consistent,Fear,0.0,44.0
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2025-06-15,102460.17164,323,1989.5179256965946,2.0380898886140923,57,266,0.21348314606741572,1,2143382.597689,2143382.597689,0.0,561577.1552587828,50272.646075327546,33725.19424918662,1.0,561577.1552587828,Low_Leverage,Infrequent,Consistent,,,
0xb899e522b5715391ae1d4f137653e7906c5e2115,2025-02-19,22488.500821,4838,22504.555828854896,26294.781853745313,2368,2470,0.9583164710643464,1,22488.500821,22488.500821,0.0,,0.8552457649614171,0.8552132408946403,1.0,,High_Leverage,Frequent,Consistent,Fear,0.0,44.0
0xbaaaf6571ab7d571043ff1e313a9609a10637864,2025-02-19,940157.212682,21190,3210.7751864086836,1455.571087885413,11195,9995,1.1199479791916767,1,940157.212682,940157.212682,0.0,664786.8781334535,645.9026429604461,645.4592024388454,1.0,664786.8781334535,High_Leverage,Frequent,Consistent,Fear,0.0,44.0
0xbaaaf6571ab7d571043ff1e313a9609a10637864,2025-06-15,6.593538,2,7.0200000000000005,16.695205479452056,0,2,0.0,1,940163.80622,940163.80622,0.0,664786.8781334535,0.3949360196923076,0.37261720456744724,1.0,664786.8781334535,Low_Leverage,Infrequent,Consistent,,,
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,2024-10-27,11671.68,267,2725.7805992509366,870.6012387424357,49,218,0.2237442922374429,1,11671.68,11671.68,0.0,227413.12198577556,13.406459215311346,13.391077801633395,0.6666666666666666,227413.12198577556,Low_Leverage,Infrequent,Consistent,Greed,1.0,74.0
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,2025-02-19,325441.97721599997,2211,8103.972912709181,43674.12921497305,1054,1157,0.9101899827288429,1,337113.65721599996,337113.65721599996,0.0,227413.12198577556,7.451596243948164,7.451425629770762,0.6666666666666666,227413.12198577556,High_Leverage,Infrequent,Consistent,Fear,0.0,44.0
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,2025-06-15,-116594.595363,163,12832.663680981595,1223.0207655517281,90,73,1.2162162162162162,0,220519.06185299996,337113.65721599996,-116594.595363,227413.12198577556,-95.33329167179099,-95.25540631693852,0.6666666666666666,227413.12198577556,High_Leverage,Infrequent,Consistent,,,
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,2024-10-27,684215.002602,9883,2693.2837964180917,100.869936552199,3092,6791,0.4552414605418139,1,684215.002602,684215.002602,0.0,354880.7514874794,6783.141003047294,6716.554714367596,1.0,354880.7514874794,Low_Leverage,Frequent,Consistent,Greed,1.0,74.0
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,2025-02-19,126967.976166,26651,1554.8373344339798,3553.856534515089,12568,14083,0.8923601249644987,1,811182.978768,811182.978768,0.0,354880.7514874794,35.72681534352492,35.716765200854844,1.0,354880.7514874794,High_Leverage,Frequent,Consistent,Fear,0.0,44.0
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,2025-06-15,24897.574309,3650,1658.11421369863,166.4922896445561,1753,1897,0.9236037934668072,1,836080.553077,836080.553077,0.0,354880.7514874794,149.54190588737626,148.64907729087952,1.0,354880.7514874794,Low_Leverage,Frequent,Consistent,,,
